momentum,low_vol,parkinson_vol,high52,liquidity,train_sharpe,test_sharpe,min_sharpe,train_return,test_return,train_dd,test_dd
0.6,0.0,0.1,0.0,0.3,1.683308301028291,1.452070707665342,1.452070707665342,0.4391165163718749,0.3791118055154059,-0.2798037202613657,-0.26536451155666796
0.4,0.1,0.0,0.4,0.1,1.782083668572366,1.451814961846569,1.451814961846569,0.4193582668922373,0.3605001410969384,-0.23681407613527294,-0.2567441343689395
0.5,0.1,0.2,0.1,0.1,1.6637356485435812,1.4497593569341238,1.4497593569341238,0.356048455557495,0.3243640304002524,-0.23676430668900095,-0.20478107932788125
0.4,0.3,0.1,0.1,0.1,1.448605694622287,1.5563272826864423,1.448605694622287,0.24766075688235278,0.29374743142375315,-0.21800134569222518,-0.16452362369549278
0.4,0.0,0.0,0.3,0.3,1.7101657796641754,1.4480417175292755,1.4480417175292755,0.4574300015466428,0.39035626752531183,-0.2766026519385023,-0.2422705414823959
0.2,0.1,0.1,0.0,0.6,1.4440111024914288,1.4945964120975828,1.4440111024914288,0.24747212455940182,0.2728007442488134,-0.25274651204946075,-0.19333293431785437
0.3,0.2,0.0,0.2,0.3,1.533072436882415,1.4424724083902078,1.4424724083902078,0.30124540171594427,0.31473267728234866,-0.2366583961516222,-0.22898908504743232
0.4,0.0,0.0,0.4,0.2,1.718060554340734,1.4416163010118714,1.4416163010118714,0.45860705619199194,0.38432846434725443,-0.2766087333470909,-0.23679434979007963
0.5,0.4,0.0,0.1,0.0,1.842280388451418,1.4413825100515882,1.4413825100515882,0.39068792768731453,0.2969868721669824,-0.21880409198777595,-0.2262611183554214
0.2,0.1,0.0,0.0,0.7,1.5714117937689547,1.4412452816002943,1.4412452816002943,0.33060938760955105,0.35193903276062044,-0.26379393608714474,-0.2346150414236372
0.6,0.0,0.2,0.0,0.2,1.7538769060542507,1.4389941531638824,1.4389941531638824,0.41744499733951446,0.36994891546197795,-0.27389937923914287,-0.264474670405235
0.5,0.2,0.0,0.1,0.2,1.8442736638253587,1.438822992239108,1.438822992239108,0.43330346001673736,0.35233166864249843,-0.21100227267279104,-0.25244648675776626
0.3,0.2,0.0,0.1,0.4,1.667587411765606,1.4357545379005223,1.4357545379005223,0.3364090555279824,0.3123619302406333,-0.236765753160595,-0.21756294485577188
0.4,0.2,0.1,0.3,0.0,1.618217950152423,1.430643711264555,1.430643711264555,0.3313860621384719,0.29173843330826155,-0.21878198263957604,-0.22065848478045869
0.3,0.0,0.0,0.1,0.6,1.9459614458627534,1.4291212234598258,1.4291212234598258,0.5115158290088078,0.3860175771670682,-0.2751327670980329,-0.2884937532237126
0.6,0.1,0.1,0.0,0.2,1.9232363106728354,1.4275940433269045,1.4275940433269045,0.4830525455453032,0.3677029276575774,-0.23368895353834485,-0.2658938767280613
0.3,0.0,0.0,0.4,0.3,1.7645377364416261,1.4261854085484138,1.4261854085484138,0.45178588297937394,0.37336880515368454,-0.25006100796476405,-0.24033654760462897
0.3,0.1,0.2,0.0,0.4,1.4254297223105605,1.5136981636641091,1.4254297223105605,0.2463804808004988,0.26772204059318216,-0.2527787005606704,-0.16335462845923054
